Airportname,Year,longitude,latitude,month,value
Ekaterinburg (Koltsovo),2019,60.802263,56.75025600000001,1,993.26
Zeyskaya,2019,127.08798700000001,53.690803,1,0.12
Ivanovo (Yuzhny),2019,40.943709999999996,56.942303,1,7.22
Irkutsk,2019,104.355777,52.273103000000006,1,441.16
Kaluga (Grabtsevo),2019,36.366974,54.546890000000005,1,0.7
Kemerovo,2019,86.118863,55.28199,1,79.14
Keperveem,2019,166.145801,67.84458199999999,1,79.0
Kirov (Pobedilovo),2019,49.346758,58.4975,1,4.7
Kogalym,2019,74.5295,62.195565,1,2.47
Komsomolsk-on-Amur,2019,136.929004,50.403351,1,168.51
Krasnodar (Paszkowski),2019,39.139669,45.033923,1,312.07
Krasnoyarsk,2019,92.486391,56.180578000000004,1,950.41
Krasnoyarsk (Cheremshanka),2019,92.486391,56.180578000000004,1,35.53
Kursk (Eastern),2019,36.282441999999996,51.749429,1,0.1
red,2019,94.40495,51.676108,1,1.02
Zabaykalsk,2019,114.831553,60.722584999999995,1,15.58
Magadan (Falcon),2019,150.73116000000002,59.914272,1,429.0
Makhachkala (Uytash),2019,47.655707,42.820909,1,77.0
Mineral water,2019,43.087648,44.217799,1,99.48
Peaceful,2019,114.02243100000001,62.531381999999994,1,284.12
Moscow (Vnukovo),2019,37.295014,55.608562,1,2876.41
Moscow (Domodedovo),2019,37.767995,55.43716800000001,1,7272.37
Moscow (Sheremetyevo),2019,37.405974,55.962962,1,19422.8
Murmansk,2019,32.758163,68.784743,1,104.18
Nadym,2019,72.69258,65.479934,1,19.33
Nizhnevartovsk,2019,76.494691,60.951112,1,147.5
Kazan (Begiševo),2019,52.101325,55.564404,1,30.51
Nizhny Novgorod (Strigino),2019,43.791127,56.219628,1,45.36
Nikolaevsk-on-Amur,2019,140.663597,53.149961,1,5.73
Novokuznetsk (Spichenkovo),2019,86.864303,53.805377,1,66.8
Novosibirsk (Tolmachyovo),2019,82.667491,55.009425,1,1615.6
New Urengoy,2019,76.52242199999999,66.072965,1,240.72
Nogliki,2019,143.140926,51.788476,1,3.63
Norilsk,2019,87.342342,69.325039,1,700.82
Noyabrsk,2019,75.274455,63.181841000000006,1,39.7
Omolon,2019,160.545443,65.236944,1,0.0
